Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors_or_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Status
no_checking_account,12,critical_account_or_other_credits_existing,education,2748,smaller_than_100_DM,bigger_than_7_years,2,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,57,bank,for_free,3,unskilled_or_resident,1,none,yes,1
no_checking_account,6,critical_account_or_other_credits_existing,new_car,362,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,4,car_or_other,52,none,own,2,unskilled_or_resident,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,9,existing_credits_paid_back_duly_till_now,radio_or_television,790,bigger_than_500_smaller_than_1000_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,3,real_estate,66,none,own,1,unskilled_or_resident,1,none,yes,1
no_checking_account,15,existing_credits_paid_back_duly_till_now,new_car,3186,bigger_than_1000_DM,bigger_than_4_smaller_than_7_years,2,female_divorced_or_separated_or_married,none,3,car_or_other,20,none,rent,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,new_car,1216,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,3,car_or_other,23,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,9,existing_credits_paid_back_duly_till_now,business,1449,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,female_divorced_or_separated_or_married,none,2,car_or_other,27,none,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,36,existing_credits_paid_back_duly_till_now,radio_or_television,2302,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_divorced_or_separated,none,4,car_or_other,31,none,rent,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,9,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2301,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,2,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,22,none,rent,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,15,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2708,smaller_than_100_DM,smaller_than_1_year,2,male_and_single,none,3,building_society_savings_agreement_or_life_insurance,27,bank,own,2,unskilled_or_resident,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,39,critical_account_or_other_credits_existing,radio_or_television,4933,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,guarantor,2,real_estate,25,none,own,2,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,18,critical_account_or_other_credits_existing,furniture_or_equipment,2124,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,4,real_estate,24,none,rent,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,14,delay_in_paying_off_in_the_past,new_car,802,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,car_or_other,27,none,own,2,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,new_car,1372,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_divorced_or_separated,none,3,car_or_other,36,none,own,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,27,no_credits_taken_or_all_credits_paid_back_duly,business,8318,smaller_than_100_DM,bigger_than_7_years,2,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,42,none,for_free,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,48,no_credits_taken_or_all_credits_paid_back_duly,new_car,8358,bigger_than_500_smaller_than_1000_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,1,car_or_other,30,none,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,42,existing_credits_paid_back_duly_till_now,radio_or_television,7174,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,3,car_or_other,30,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,24,critical_account_or_other_credits_existing,new_car,3878,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,4,male_divorced_or_separated,none,2,car_or_other,37,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,existing_credits_paid_back_duly_till_now,radio_or_television,2896,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,2,male_and_single,none,1,car_or_other,29,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,15,critical_account_or_other_credits_existing,radio_or_television,1459,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,2,car_or_other,43,none,own,1,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,domestic_appliances,741,bigger_than_100_smaller_than_500_DM,unemployed,4,female_divorced_or_separated_or_married,none,3,building_society_savings_agreement_or_life_insurance,22,none,own,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,1484,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_and_married_or_widowed,none,1,real_estate,25,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,36,critical_account_or_other_credits_existing,used_car,5800,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_single,none,4,car_or_other,34,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,12,existing_credits_paid_back_duly_till_now,radio_or_television,1963,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,car_or_other,31,none,rent,2,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,42,critical_account_or_other_credits_existing,furniture_or_equipment,4042,bigger_than_500_smaller_than_1000_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,4,real_estate,36,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,24,no_credits_taken_or_all_credits_paid_back_duly,furniture_or_equipment,4110,smaller_than_100_DM,bigger_than_7_years,3,male_and_single,none,4,unknown_or_no_property,23,bank,rent,2,skilled_employee_or_official,2,none,yes,2
no_checking_account,24,existing_credits_paid_back_duly_till_now,used_car,3488,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,3,female_divorced_or_separated_or_married,none,4,car_or_other,23,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,delay_in_paying_off_in_the_past,business,3863,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_single,none,2,unknown_or_no_property,32,none,for_free,1,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,10,critical_account_or_other_credits_existing,radio_or_television,1347,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,27,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,12,critical_account_or_other_credits_existing,furniture_or_equipment,1935,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,real_estate,43,none,own,3,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,727,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,4,male_and_married_or_widowed,none,3,unknown_or_no_property,33,none,own,1,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,42,no_credits_taken_or_all_credits_paid_back_duly,business,6289,smaller_than_100_DM,smaller_than_1_year,2,male_divorced_or_separated,none,1,building_society_savings_agreement_or_life_insurance,33,none,own,2,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,15,critical_account_or_other_credits_existing,radio_or_television,1271,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,3,male_and_single,none,4,unknown_or_no_property,39,none,for_free,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,24,existing_credits_paid_back_duly_till_now,radio_or_television,999,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,2,car_or_other,25,none,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,12,critical_account_or_other_credits_existing,new_car,2122,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_single,none,2,real_estate,39,none,rent,2,unskilled_or_resident,2,none,no,1
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,education,750,smaller_than_100_DM,unemployed,4,female_divorced_or_separated_or_married,none,1,real_estate,27,none,own,1,unemployed_or_unskilled_or_non-resident,1,none,yes,2
no_checking_account,24,critical_account_or_other_credits_existing,used_car,2197,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,male_and_single,none,4,car_or_other,43,none,own,2,skilled_employee_or_official,2,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,6468,unknown_or_no_savings_account,unemployed,2,male_and_single,none,1,unknown_or_no_property,52,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1925,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,real_estate,26,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,24,delay_in_paying_off_in_the_past,new_car,4870,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_single,none,4,unknown_or_no_property,53,none,for_free,2,skilled_employee_or_official,2,none,yes,2
no_checking_account,24,critical_account_or_other_credits_existing,repairs,2058,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_divorced_or_separated,none,2,real_estate,33,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,critical_account_or_other_credits_existing,radio_or_television,1382,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,none,1,car_or_other,28,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,652,smaller_than_100_DM,bigger_than_7_years,4,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,24,none,rent,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,9,critical_account_or_other_credits_existing,new_car,2134,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,4,car_or_other,48,none,own,3,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,new_car,1274,smaller_than_100_DM,smaller_than_1_year,3,female_divorced_or_separated_or_married,none,1,real_estate,37,none,own,1,unskilled_or_resident,1,none,yes,2
no_checking_account,12,critical_account_or_other_credits_existing,furniture_or_equipment,5801,unknown_or_no_savings_account,bigger_than_7_years,2,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,49,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,18,no_credits_taken_or_all_credits_paid_back_duly,business,4165,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,car_or_other,36,stores,own,2,skilled_employee_or_official,2,none,yes,2
no_checking_account,24,critical_account_or_other_credits_existing,used_car,2346,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,3,car_or_other,35,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,21,existing_credits_paid_back_duly_till_now,business,1188,smaller_than_100_DM,bigger_than_7_years,2,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,39,none,own,1,skilled_employee_or_official,2,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,9,critical_account_or_other_credits_existing,furniture_or_equipment,1919,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,3,car_or_other,35,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,15,existing_credits_paid_back_duly_till_now,used_car,3812,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,4,car_or_other,23,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,18,delay_in_paying_off_in_the_past,furniture_or_equipment,4297,smaller_than_100_DM,bigger_than_7_years,4,male_divorced_or_separated,none,3,unknown_or_no_property,40,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,12,existing_credits_paid_back_duly_till_now,radio_or_television,1881,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,female_divorced_or_separated_or_married,none,2,car_or_other,44,none,rent,1,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,18,existing_credits_paid_back_duly_till_now,radio_or_television,433,smaller_than_100_DM,unemployed,3,female_divorced_or_separated_or_married,co-applicant,4,real_estate,22,none,rent,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,12,critical_account_or_other_credits_existing,new_car,1255,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,real_estate,61,none,own,2,unskilled_or_resident,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,36,existing_credits_paid_back_duly_till_now,radio_or_television,3913,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,real_estate,23,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,delay_in_paying_off_in_the_past,new_car,1344,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,real_estate,43,none,own,2,unskilled_or_resident,2,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,6,existing_credits_paid_back_duly_till_now,new_car,14555,unknown_or_no_savings_account,unemployed,1,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,23,none,own,1,unemployed_or_unskilled_or_non-resident,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,48,existing_credits_paid_back_duly_till_now,business,4308,smaller_than_100_DM,smaller_than_1_year,3,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,24,none,rent,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,24,existing_credits_paid_back_duly_till_now,radio_or_television,2284,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,car_or_other,28,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,10,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1275,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,2,building_society_savings_agreement_or_life_insurance,23,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,delay_in_paying_off_in_the_past,furniture_or_equipment,4151,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,3,building_society_savings_agreement_or_life_insurance,35,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,12,existing_credits_paid_back_duly_till_now,business,1076,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_married_or_widowed,none,2,real_estate,26,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",no,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,18,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2864,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,1,real_estate,34,none,own,1,unskilled_or_resident,2,none,yes,2
smaller_than_0_DM,24,all_credits_at_this_bank_paid_back_duly,used_car,3632,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,guarantor,4,car_or_other,22,bank,rent,1,skilled_employee_or_official,1,none,no,1
smaller_than_0_DM,15,delay_in_paying_off_in_the_past,furniture_or_equipment,3643,smaller_than_100_DM,bigger_than_7_years,1,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,27,none,own,2,unskilled_or_resident,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,12,existing_credits_paid_back_duly_till_now,radio_or_television,3016,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_married_or_widowed,none,1,car_or_other,24,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,15,critical_account_or_other_credits_existing,furniture_or_equipment,1520,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,63,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,18,critical_account_or_other_credits_existing,radio_or_television,1582,bigger_than_1000_DM,bigger_than_7_years,4,male_and_single,none,4,car_or_other,46,none,own,2,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,36,existing_credits_paid_back_duly_till_now,used_car,6948,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,car_or_other,35,none,rent,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,new_car,976,smaller_than_100_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,2,car_or_other,23,none,own,1,unskilled_or_resident,1,none,yes,2
no_checking_account,48,critical_account_or_other_credits_existing,used_car,11590,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,2,female_divorced_or_separated_or_married,none,4,car_or_other,24,bank,rent,2,unskilled_or_resident,1,none,yes,2
no_checking_account,12,existing_credits_paid_back_duly_till_now,new_car,2859,unknown_or_no_savings_account,unemployed,4,male_and_single,none,4,unknown_or_no_property,38,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,48,existing_credits_paid_back_duly_till_now,new_car,6560,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,24,none,own,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,47,existing_credits_paid_back_duly_till_now,new_car,10722,smaller_than_100_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,1,real_estate,35,none,own,1,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,12,existing_credits_paid_back_duly_till_now,new_car,1330,smaller_than_100_DM,smaller_than_1_year,4,male_and_single,none,1,real_estate,26,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,15,existing_credits_paid_back_duly_till_now,radio_or_television,2327,smaller_than_100_DM,smaller_than_1_year,2,female_divorced_or_separated_or_married,none,3,real_estate,25,none,own,1,unskilled_or_resident,1,none,yes,2
no_checking_account,30,critical_account_or_other_credits_existing,radio_or_television,3077,unknown_or_no_savings_account,bigger_than_7_years,3,male_and_single,none,2,car_or_other,40,none,own,2,skilled_employee_or_official,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,retraining,902,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_married_or_widowed,none,4,building_society_savings_agreement_or_life_insurance,21,none,rent,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,radio_or_television,1603,smaller_than_100_DM,bigger_than_7_years,4,female_divorced_or_separated_or_married,none,4,car_or_other,55,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,15,all_credits_at_this_bank_paid_back_duly,new_car,6850,bigger_than_100_smaller_than_500_DM,unemployed,1,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,34,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,18,critical_account_or_other_credits_existing,used_car,3229,unknown_or_no_savings_account,unemployed,2,male_and_single,none,4,unknown_or_no_property,38,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,existing_credits_paid_back_duly_till_now,domestic_appliances,1338,bigger_than_500_smaller_than_1000_DM,bigger_than_1_smaller_than_4_years,1,male_divorced_or_separated,none,4,real_estate,62,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,18,no_credits_taken_or_all_credits_paid_back_duly,new_car,2278,bigger_than_100_smaller_than_500_DM,smaller_than_1_year,3,female_divorced_or_separated_or_married,none,3,car_or_other,28,none,own,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,21,delay_in_paying_off_in_the_past,furniture_or_equipment,1591,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,3,real_estate,34,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,48,existing_credits_paid_back_duly_till_now,radio_or_television,10961,bigger_than_1000_DM,bigger_than_4_smaller_than_7_years,1,male_and_single,co-applicant,2,unknown_or_no_property,27,bank,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,10,existing_credits_paid_back_duly_till_now,retraining,894,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,3,building_society_savings_agreement_or_life_insurance,40,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,existing_credits_paid_back_duly_till_now,education,1538,smaller_than_100_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,2,unknown_or_no_property,56,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,72,existing_credits_paid_back_duly_till_now,radio_or_television,5595,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,2,male_and_married_or_widowed,none,2,car_or_other,24,none,own,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,12,critical_account_or_other_credits_existing,furniture_or_equipment,3331,smaller_than_100_DM,bigger_than_7_years,2,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,42,stores,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,critical_account_or_other_credits_existing,education,5743,smaller_than_100_DM,smaller_than_1_year,2,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,24,none,for_free,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,critical_account_or_other_credits_existing,others,11938,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,co-applicant,3,car_or_other,39,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,48,delay_in_paying_off_in_the_past,education,6224,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,unknown_or_no_property,50,none,for_free,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2577,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_divorced_or_separated,none,1,car_or_other,42,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,9,existing_credits_paid_back_duly_till_now,radio_or_television,1478,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,car_or_other,22,none,own,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,9,existing_credits_paid_back_duly_till_now,radio_or_television,458,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,3,real_estate,24,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,8,critical_account_or_other_credits_existing,others,1164,smaller_than_100_DM,bigger_than_7_years,3,male_and_single,none,4,unknown_or_no_property,51,bank,for_free,2,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,new_car,1381,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,2,building_society_savings_agreement_or_life_insurance,35,none,own,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,18,critical_account_or_other_credits_existing,new_car,2775,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,31,bank,own,2,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,36,no_credits_taken_or_all_credits_paid_back_duly,radio_or_television,3804,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,1,car_or_other,42,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,30,existing_credits_paid_back_duly_till_now,radio_or_television,2991,unknown_or_no_savings_account,bigger_than_7_years,2,female_divorced_or_separated_or_married,none,4,car_or_other,25,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,15,critical_account_or_other_credits_existing,radio_or_television,1537,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,guarantor,4,real_estate,50,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,48,delay_in_paying_off_in_the_past,radio_or_television,12749,bigger_than_500_smaller_than_1000_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,1,car_or_other,37,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2251,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,female_divorced_or_separated_or_married,none,2,car_or_other,46,none,own,1,unskilled_or_resident,1,none,yes,1
no_checking_account,18,existing_credits_paid_back_duly_till_now,new_car,1820,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_married_or_widowed,none,2,building_society_savings_agreement_or_life_insurance,30,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
