Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,THAILAND,39.6,23.76,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,26,CHINA,38.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,CAMBODIA,24.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,THAILAND,17.0,0.0,57
JWT,Airlines,Online,Value_Plan,no,127,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,SWITZERLAND,112.0,0.0,40
SSI,Airlines,Online,Ticket_Protector,no,46,SINGAPORE,6.5,1.82,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,241,NEW_ZEALAND,118.8,71.28,42
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,11,SINGAPORE,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,176,"TAIWAN,_PROVINCE_OF_CHINA",0.0,35.64,36
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,10,MALAYSIA,30.0,10.5,65
C2B,Airlines,Online,Bronze_Plan,no,7,SINGAPORE,16.0,4.0,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,30,ITALY,18.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,MALAYSIA,12.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,44,AUSTRALIA,69.3,41.58,41
C2B,Airlines,Online,Annual_Silver_Plan,no,417,SINGAPORE,252.85,63.21,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,86,JAPAN,82.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,60,PHILIPPINES,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,42,HONG_KONG,26.0,9.1,33
SSI,Airlines,Online,Ticket_Protector,no,28,SINGAPORE,1.35,0.38,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,AUSTRALIA,24.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,141,AUSTRALIA,70.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,THAILAND,19.8,11.88,43
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,68,UNITED_STATES,59.4,35.64,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,UNITED_STATES,112.0,0.0,34
C2B,Airlines,Online,Bronze_Plan,no,30,SINGAPORE,39.0,9.75,23
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,VIETNAM,14.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,VIETNAM,28.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,113,UNITED_STATES,59.4,35.64,61
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,10,INDONESIA,20.0,0.0,52
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,17,SINGAPORE,66.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,48,PHILIPPINES,37.0,12.95,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,47,JAPAN,112.0,0.0,35
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,32,AUSTRALIA,49.5,29.7,31
JZI,Airlines,Online,Value_Plan,no,14,AUSTRALIA,69.0,24.15,64
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,JAPAN,24.0,0.0,35
C2B,Airlines,Online,Annual_Silver_Plan,no,367,SINGAPORE,193.2,48.3,46
JZI,Airlines,Online,Value_Plan,no,25,JAPAN,58.0,20.3,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,CHINA,0.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,100,HONG_KONG,26.0,9.1,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,THAILAND,31.0,0.0,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,44,MALAYSIA,10.0,0.0,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,CHINA,39.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,127,SWITZERLAND,15.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,THAILAND,10.0,0.0,30
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,30,SPAIN,84.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,PHILIPPINES,44.0,0.0,35
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,96,THAILAND,20.0,0.0,36
ART,Airlines,Online,Value_Plan,no,36,VIETNAM,29.0,10.15,52
EPX,Travel_Agency,Online,Cancellation_Plan,no,141,UNITED_STATES,39.0,0.0,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,"KOREA,_REPUBLIC_OF",0.0,23.76,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,127,UNITED_STATES,80.0,0.0,64
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,THAILAND,29.7,17.82,37
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,HONG_KONG,26.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,INDIA,102.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,41,CANADA,40.0,0.0,26
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,40,CAMBODIA,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,48,PHILIPPINES,24.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,188,HONG_KONG,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,125,UNITED_STATES,58.0,0.0,43
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,123,ITALY,98.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,THAILAND,59.4,35.64,47
RAB,Airlines,Online,Value_Plan,no,14,BRUNEI_DARUSSALAM,15.0,6.0,27
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,HONG_KONG,112.0,0.0,36
RAB,Airlines,Online,Value_Plan,no,7,BRUNEI_DARUSSALAM,15.0,6.0,58
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,5,THAILAND,30.0,10.5,55
JZI,Airlines,Online,Basic_Plan,no,27,MALAYSIA,18.0,6.3,29
JZI,Airlines,Online,Basic_Plan,no,10,PHILIPPINES,22.0,7.7,54
JZI,Airlines,Online,Basic_Plan,no,10,JAPAN,35.0,12.25,74
JZI,Airlines,Online,Basic_Plan,no,13,CAMBODIA,22.0,7.7,49
EPX,Travel_Agency,Online,Cancellation_Plan,no,162,NEPAL,25.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,220,UNITED_KINGDOM,80.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,17,INDONESIA,37.0,12.95,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,THAILAND,25.0,0.0,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,18,SINGAPORE,10.0,0.0,26
C2B,Airlines,Online,Silver_Plan,no,17,SINGAPORE,83.0,20.75,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,THAILAND,15.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,10,THAILAND,21.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,RUSSIAN_FEDERATION,35.0,0.0,35
JZI,Airlines,Online,Basic_Plan,no,6,INDONESIA,22.0,7.7,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,MALAYSIA,10.0,0.0,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,84,HONG_KONG,16.0,0.0,56
RAB,Airlines,Online,Value_Plan,no,5,BRUNEI_DARUSSALAM,15.0,6.0,50
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,17,CHINA,32.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,117,MALAYSIA,20.0,0.0,26
C2B,Airlines,Online,Bronze_Plan,no,23,SINGAPORE,21.0,5.25,66
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,SINGAPORE,31.0,0.0,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,52,UNITED_STATES,112.0,0.0,29
JZI,Airlines,Online,Basic_Plan,no,14,MALAYSIA,33.0,11.55,45
JZI,Airlines,Online,Basic_Plan,no,24,INDONESIA,22.0,7.7,67
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,44,DENMARK,89.1,53.46,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,CHINA,24.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,364,SINGAPORE,252.85,63.21,36
C2B,Airlines,Online,Bronze_Plan,no,261,SINGAPORE,60.0,15.0,59
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,31,JAPAN,34.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,CHINA,19.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,SINGAPORE,30.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,17,AUSTRALIA,49.5,29.7,36
C2B,Airlines,Online,Bronze_Plan,no,4,SINGAPORE,16.0,4.0,37
C2B,Airlines,Online,Silver_Plan,no,9,SINGAPORE,32.5,8.13,62
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,15,UNITED_STATES,148.5,89.1,44
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,CAMBODIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,88,CHINA,22.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,178,THAILAND,22.0,7.7,59
JZI,Airlines,Online,Basic_Plan,no,91,CHINA,35.0,12.25,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,45,UNITED_STATES,112.0,0.0,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,INDONESIA,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,SINGAPORE,10.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,3,THAILAND,33.0,11.55,31
C2B,Airlines,Online,Gold_Plan,no,5,SINGAPORE,66.3,16.57,42
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,CHINA,35.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,57,AUSTRALIA,49.5,29.7,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,22,NEW_ZEALAND,45.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,NEW_ZEALAND,10.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,148,UNITED_ARAB_EMIRATES,25.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,45,CHINA,19.0,0.0,36
CCR,Travel_Agency,Offline,Comprehensive_Plan,no,131,THAILAND,29.0,9.57,44
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,134,"TAIWAN,_PROVINCE_OF_CHINA",20.0,0.0,40
C2B,Airlines,Online,Silver_Plan,no,3,SINGAPORE,22.5,5.63,31
JZI,Airlines,Online,Value_Plan,no,104,UNITED_STATES,138.0,48.3,50
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,CAMBODIA,26.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,71,PHILIPPINES,13.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,105,SINGAPORE,11.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,49,AUSTRALIA,69.3,41.58,34
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,10,MALAYSIA,20.0,0.0,56
SSI,Airlines,Online,Ticket_Protector,no,6,SINGAPORE,3.15,0.88,48
JZI,Airlines,Online,Basic_Plan,no,25,CHINA,35.0,12.25,60
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,72,MALAYSIA,30.0,10.5,68
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,VIETNAM,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,SINGAPORE,13.0,0.0,36
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Gold,no,10,CHINA,36.5,23.73,42
C2B,Airlines,Online,Bronze_Plan,no,40,SINGAPORE,53.5,13.38,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,34,IRELAND,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,UNITED_STATES,10.0,0.0,47
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,14,SINGAPORE,98.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,SINGAPORE,43.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,2,FRANCE,19.8,11.88,41
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,16,AUSTRALIA,0.0,23.76,59
EPX,Travel_Agency,Online,Cancellation_Plan,no,42,JAPAN,41.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,21,INDONESIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,30,MALAYSIA,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,6,AUSTRALIA,49.5,29.7,57
C2B,Airlines,Online,Silver_Plan,no,11,SINGAPORE,39.0,9.75,41
JZI,Airlines,Online,Basic_Plan,no,3,INDIA,22.0,7.7,26
SSI,Airlines,Online,Ticket_Protector,no,53,SINGAPORE,2.86,0.8,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,39,SINGAPORE,112.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,29,SINGAPORE,13.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,44,THAILAND,52.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,87,SINGAPORE,13.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,22,UNITED_KINGDOM,29.7,17.82,35
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,UNITED_STATES,29.7,17.82,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,18,SINGAPORE,33.0,0.0,26
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,CHINA,47.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,25,PHILIPPINES,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,113,NEW_ZEALAND,98.0,0.0,59
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,12,CHINA,33.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,THAILAND,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,79,SINGAPORE,60.0,15.0,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,GERMANY,14.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,13,IRELAND,39.6,23.76,39
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,252.85,63.21,31
C2B,Airlines,Online,Bronze_Plan,no,10,SINGAPORE,27.0,6.75,30
JZI,Airlines,Online,Basic_Plan,no,26,MYANMAR,18.0,6.3,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,49,CHINA,40.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,CHINA,29.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,32,"TAIWAN,_PROVINCE_OF_CHINA",45.0,0.0,32
C2B,Airlines,Online,Silver_Plan,no,6,SINGAPORE,18.5,4.63,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,34,HONG_KONG,19.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,80,SOUTH_AFRICA,148.5,89.1,28
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,2,MALAYSIA,9.9,5.94,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,SINGAPORE,25.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,20,"KOREA,_REPUBLIC_OF",29.0,0.0,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,34,SINGAPORE,26.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,59,INDIA,93.0,37.2,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,SPAIN,80.0,0.0,27
C2B,Airlines,Online,Silver_Plan,no,69,SINGAPORE,93.6,23.4,24
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,31,MYANMAR,25.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,5,PHILIPPINES,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,81,PHILIPPINES,32.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,16,HONG_KONG,35.0,12.25,55
EPX,Travel_Agency,Online,Cancellation_Plan,no,257,JAPAN,34.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,PHILIPPINES,10.0,0.0,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,41,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,56,HONG_KONG,14.0,0.0,26
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,27,THAILAND,20.0,0.0,35
C2B,Airlines,Online,Annual_Silver_Plan,no,386,SINGAPORE,216.0,54.0,33
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,5,AUSTRALIA,39.6,23.76,50
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,20,UNITED_STATES,112.0,0.0,59
C2B,Airlines,Online,Bronze_Plan,no,17,SINGAPORE,39.0,9.75,41
C2B,Airlines,Online,Bronze_Plan,no,4,SINGAPORE,16.0,4.0,36
LWC,Travel_Agency,Online,Annual_Travel_Protect_Platinum,no,390,UNITED_STATES,323.4,210.21,55
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,24,AUSTRALIA,59.4,35.64,31
C2B,Airlines,Online,Gold_Plan,no,11,SINGAPORE,35.5,8.88,28
SSI,Airlines,Online,Ticket_Protector,no,19,SINGAPORE,8.41,2.36,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,7,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,CHINA,18.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,THAILAND,49.5,29.7,61
EPX,Travel_Agency,Online,Cancellation_Plan,no,20,MYANMAR,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,17,"KOREA,_REPUBLIC_OF",88.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,THAILAND,46.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,CHINA,50.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,52,INDONESIA,22.0,7.7,49
C2B,Airlines,Online,Silver_Plan,no,18,SINGAPORE,27.0,6.75,22
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,SINGAPORE,59.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,84,SINGAPORE,39.0,9.75,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,49,CAMBODIA,78.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,20,AUSTRALIA,0.0,41.58,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,51,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,JAPAN,69.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,63,SINGAPORE,78.5,19.63,33
JWT,Airlines,Online,Value_Plan,no,33,INDIA,100.0,40.0,99
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,76,CANADA,188.1,112.86,38
EPX,Travel_Agency,Online,Cancellation_Plan,no,37,CHINA,24.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,5,HONG_KONG,26.0,9.1,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,25,INDIA,32.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,18,HONG_KONG,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,11,SINGAPORE,16.0,4.0,66
JZI,Airlines,Online,Basic_Plan,no,11,HONG_KONG,40.0,14.0,51
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,216.0,54.0,58
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,21,AUSTRALIA,29.7,17.82,29
KML,Travel_Agency,Online,Value_Plan,no,32,NETHERLANDS,75.0,28.5,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,MALAYSIA,19.0,0.0,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,CHINA,40.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,52,RUSSIAN_FEDERATION,80.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,THAILAND,21.0,0.0,21
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,"KOREA,_REPUBLIC_OF",13.0,0.0,21
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,"KOREA,_REPUBLIC_OF",46.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,63,THAILAND,18.0,0.0,35
C2B,Airlines,Online,Bronze_Plan,no,15,SINGAPORE,23.5,5.88,28
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,56,AUSTRALIA,59.4,35.64,30
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,AUSTRALIA,0.0,35.64,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,MYANMAR,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,71,CHINA,15.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,9,MALAYSIA,29.7,17.82,30
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,AUSTRALIA,-69.3,41.58,60
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,INDONESIA,20.0,0.0,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,28,SWITZERLAND,112.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,30,SINGAPORE,22.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,55,AUSTRALIA,89.1,53.46,38
C2B,Airlines,Online,Bronze_Plan,no,11,SINGAPORE,27.0,6.75,28
C2B,Airlines,Online,Annual_Silver_Plan,no,389,SINGAPORE,259.2,64.8,69
JZI,Airlines,Online,Basic_Plan,no,9,VIETNAM,22.0,7.7,50
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,16,"KOREA,_REPUBLIC_OF",59.4,35.64,28
C2B,Airlines,Online,Bronze_Plan,no,3,SINGAPORE,13.5,3.38,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,MALAYSIA,21.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,17,AUSTRALIA,39.6,23.76,39
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,AUSTRALIA,59.4,35.64,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,"KOREA,_REPUBLIC_OF",28.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,29,DENMARK,87.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,18,UNITED_STATES,12.0,0.0,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,23,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,VIETNAM,22.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,AUSTRALIA,9.9,5.94,31
C2B,Airlines,Online,Bronze_Plan,no,3,SINGAPORE,13.5,3.38,32
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,13.5,3.38,33
JZI,Airlines,Online,Basic_Plan,no,66,CHINA,40.0,14.0,63
JZI,Airlines,Online,Basic_Plan,no,54,"KOREA,_REPUBLIC_OF",26.0,9.1,25
JZI,Airlines,Online,Basic_Plan,no,11,CHINA,35.0,12.25,49
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,49,UNITED_KINGDOM,198.0,118.8,49
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,84,AUSTRALIA,79.2,47.52,56
C2B,Airlines,Online,Silver_Plan,no,6,SINGAPORE,18.5,4.63,69
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,41,MALAYSIA,-29.7,17.82,49
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,INDONESIA,21.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,34,MALAYSIA,25.0,0.0,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,UNITED_KINGDOM,52.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,104,INDONESIA,20.0,0.0,38
C2B,Airlines,Online,Bronze_Plan,no,46,SINGAPORE,13.5,3.38,24
C2B,Airlines,Online,Bronze_Plan,no,30,SINGAPORE,39.0,9.75,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,SINGAPORE,10.0,0.0,34
JZI,Airlines,Online,Basic_Plan,no,4,CHINA,26.0,9.1,38
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,31,MALAYSIA,30.0,10.5,45
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,3,CHINA,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,14,UNITED_ARAB_EMIRATES,39.6,23.76,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,74,PHILIPPINES,13.0,0.0,30
KML,Travel_Agency,Online,Premier_Plan,no,89,INDONESIA,29.0,11.02,48
JZI,Airlines,Online,Basic_Plan,no,32,HONG_KONG,35.0,12.25,50
C2B,Airlines,Online,Gold_Plan,no,10,SINGAPORE,63.7,15.93,71
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,95,THAILAND,29.7,17.82,60
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,JAPAN,80.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,43,SINGAPORE,2.76,0.77,48
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,33,THAILAND,30.0,10.5,54
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,86,GERMANY,112.0,0.0,36
