Installment,Loan_Purpose,Loan_Application_Type,Interest_Rate,Last_Payment_Amount,Loan_Amount,Revolving_Balance,Delinquency_In_2_years,Inquiries_In_6_Months,Mortgage_Accounts,Grade,Open_Accounts,Revolving_Utilization_Rate,Total_Accounts,Fico_Range_Low,Fico_Range_High,Address_State,Employment_Length,Home_Ownership,Verification_Status,Annual_Income,Loan_Status
274.89,other,Individual,18.99,4814.22,7500.0,0.0,0.0,1.0,0.0,D,6.0,0.0,6.0,725.0,729.0,TX,6_years,OWN,Not_Verified,100000.0,fullypaid
494.57,debt_consolidation,Individual,11.49,6516.71,15000.0,14803.0,0.0,0.0,1.0,B,8.0,63.5,14.0,675.0,679.0,NY,8_years,RENT,Source_Verified,65000.0,fullypaid
616.54,home_improvement,Individual,6.89,17591.95,20000.0,16446.0,0.0,0.0,2.0,A,15.0,33.0,36.0,720.0,724.0,FL,10+_years,MORTGAGE,Source_Verified,252000.0,fullypaid
788.72,credit_card,Individual,25.89,828.16,26400.0,30549.0,0.0,3.0,1.0,G,16.0,84.9,18.0,660.0,664.0,NY,8_years,MORTGAGE,Verified,90000.0,chargedoff
368.08,debt_consolidation,Individual,13.49,15507.04,16000.0,19981.0,0.0,0.0,0.0,C,8.0,67.3,15.0,700.0,704.0,LA,6_years,RENT,Source_Verified,98000.0,fullypaid
621.95,debt_consolidation,Individual,10.99,16198.95,19000.0,23140.0,1.0,2.0,3.0,B,25.0,48.3,49.0,680.0,684.0,AZ,10+_years,MORTGAGE,Not_Verified,115000.0,fullypaid
217.38,credit_card,Individual,10.99,5748.18,10000.0,3951.0,3.0,0.0,4.0,B,9.0,17.3,31.0,735.0,739.0,MN,8_years,RENT,Not_Verified,78000.0,fullypaid
676.21,debt_consolidation,Joint_App,13.33,16486.08,29500.0,30218.0,0.0,0.0,5.0,C,3.0,97.5,17.0,670.0,674.0,CA,10+_years,MORTGAGE,Source_Verified,172000.0,fullypaid
774.79,debt_consolidation,Individual,15.8,774.01,32000.0,13550.0,1.0,1.0,6.0,C,10.0,51.9,37.0,710.0,714.0,CA,4_years,MORTGAGE,Verified,150000.0,fullypaid
526.55,major_purchase,Individual,7.21,11828.2,17000.0,7046.0,0.0,0.0,1.0,A,12.0,12.6,29.0,745.0,749.0,TX,1_year,RENT,Not_Verified,70000.0,fullypaid
329.91,debt_consolidation,Individual,17.97,13076.47,13000.0,8646.0,0.0,1.0,2.0,D,8.0,31.3,20.0,700.0,704.0,TX,nan,MORTGAGE,Verified,28000.0,fullypaid
495.23,credit_card,Individual,9.99,1418.53,25000.0,9328.0,0.0,0.0,nan,B,8.0,21.2,15.0,745.0,749.0,NY,<_1_year,RENT,Verified,75600.0,fullypaid
316.92,credit_card,Individual,14.65,316.92,13425.0,16314.0,0.0,0.0,0.0,C,10.0,57.6,28.0,705.0,709.0,NY,2_years,RENT,Source_Verified,28000.0,chargedoff
378.39,credit_card,Individual,13.35,378.39,16500.0,12578.0,0.0,0.0,0.0,C,17.0,59.9,51.0,730.0,734.0,GA,3_years,RENT,Not_Verified,67000.0,chargedoff
669.94,debt_consolidation,Individual,12.59,6420.78,20000.0,12038.0,0.0,1.0,1.0,C,6.0,48.7,24.0,735.0,739.0,NY,1_year,RENT,Verified,43000.0,fullypaid
1247.68,debt_consolidation,Individual,16.99,1716.4,35000.0,39157.0,0.0,1.0,5.0,D,13.0,77.2,37.0,690.0,694.0,OR,10+_years,MORTGAGE,Verified,128500.0,fullypaid
807.39,major_purchase,Individual,20.75,19285.64,30000.0,23739.0,1.0,0.0,3.0,E,13.0,74.7,33.0,665.0,669.0,CT,10+_years,MORTGAGE,Source_Verified,200000.0,fullypaid
371.96,debt_consolidation,Individual,7.26,368.86,12000.0,6778.0,0.0,0.0,4.0,A,7.0,54.2,21.0,690.0,694.0,OR,8_years,MORTGAGE,Verified,85000.0,fullypaid
913.99,credit_card,Individual,8.39,10621.19,29000.0,23273.0,0.0,1.0,3.0,A,11.0,46.0,29.0,740.0,744.0,IN,10+_years,MORTGAGE,Source_Verified,92000.0,fullypaid
234.48,credit_card,Individual,12.59,467.64,7000.0,9170.0,0.0,1.0,1.0,C,6.0,56.3,12.0,670.0,674.0,GA,10+_years,MORTGAGE,Verified,115000.0,fullypaid
322.34,debt_consolidation,Individual,10.49,322.34,15000.0,7952.0,0.0,0.0,3.0,B,4.0,99.4,10.0,680.0,684.0,OK,10+_years,MORTGAGE,Source_Verified,84120.0,chargedoff
382.36,credit_card,Individual,9.99,15062.28,18000.0,17869.0,0.0,0.0,1.0,B,22.0,36.2,40.0,710.0,714.0,AL,10+_years,MORTGAGE,Source_Verified,40000.0,fullypaid
138.76,other,Joint_App,15.05,138.76,4000.0,12903.0,0.0,0.0,2.0,C,16.0,43.9,18.0,705.0,709.0,FL,3_years,MORTGAGE,Source_Verified,45000.0,chargedoff
332.1,debt_consolidation,Individual,11.99,331.9,10000.0,7849.0,0.0,1.0,2.0,B,12.0,66.5,41.0,685.0,689.0,MN,4_years,MORTGAGE,Source_Verified,45000.0,fullypaid
292.88,debt_consolidation,Individual,11.55,292.58,8875.0,7933.0,0.0,3.0,2.0,B,13.0,25.3,22.0,730.0,734.0,MI,7_years,MORTGAGE,Not_Verified,26700.0,fullypaid
169.27,debt_consolidation,Individual,13.33,82.62,5000.0,11676.0,0.0,1.0,1.0,C,14.0,82.2,18.0,665.0,669.0,MN,1_year,MORTGAGE,Source_Verified,42000.0,fullypaid
1084.13,debt_consolidation,Individual,17.97,29847.87,30000.0,22746.0,0.0,1.0,3.0,D,14.0,65.4,18.0,685.0,689.0,VA,10+_years,MORTGAGE,Source_Verified,111000.0,fullypaid
330.26,debt_consolidation,Individual,14.46,3653.81,9600.0,8519.0,0.0,0.0,2.0,C,6.0,38.4,13.0,675.0,679.0,CA,1_year,MORTGAGE,Source_Verified,35360.0,fullypaid
310.24,debt_consolidation,Individual,18.84,9992.56,12000.0,20174.0,0.0,0.0,3.0,E,9.0,87.7,28.0,695.0,699.0,OR,10+_years,MORTGAGE,Source_Verified,50000.0,fullypaid
316.54,home_improvement,Individual,19.99,5378.79,11950.0,3174.0,1.0,0.0,0.0,E,8.0,37.8,21.0,660.0,664.0,FL,7_years,MORTGAGE,Verified,68000.0,fullypaid
572.15,debt_consolidation,Individual,19.99,19685.54,21600.0,73.0,0.0,0.0,0.0,D,15.0,0.7,63.0,665.0,669.0,MD,7_years,MORTGAGE,Verified,71000.0,fullypaid
469.29,debt_consolidation,Individual,7.89,469.07,15000.0,10345.0,1.0,0.0,0.0,A,11.0,21.7,22.0,685.0,689.0,CA,<_1_year,RENT,Source_Verified,100000.0,fullypaid
775.51,credit_card,Individual,23.83,775.13,27050.0,34446.0,0.0,0.0,6.0,F,13.0,71.2,55.0,665.0,669.0,WI,3_years,RENT,Source_Verified,60500.0,fullypaid
310.24,house,Individual,18.84,12089.26,12000.0,26487.0,0.0,1.0,0.0,E,13.0,42.7,37.0,720.0,724.0,NY,10+_years,RENT,Source_Verified,75000.0,fullypaid
363.97,debt_consolidation,Individual,12.99,2808.24,16000.0,15635.0,0.0,0.0,2.0,C,15.0,57.7,19.0,705.0,709.0,FL,5_years,MORTGAGE,Not_Verified,65000.0,fullypaid
113.31,credit_card,Individual,21.18,47.32,3000.0,8618.0,0.0,0.0,0.0,E,19.0,49.2,33.0,675.0,679.0,FL,1_year,RENT,Source_Verified,50000.0,fullypaid
995.34,credit_card,Individual,23.43,995.34,35000.0,46635.0,0.0,1.0,2.0,F,7.0,98.6,20.0,665.0,669.0,AL,<_1_year,RENT,Source_Verified,130000.0,chargedoff
629.01,debt_consolidation,Individual,17.57,11101.85,25000.0,31590.0,1.0,0.0,0.0,D,11.0,71.0,19.0,685.0,689.0,CA,1_year,RENT,Source_Verified,108000.0,fullypaid
542.89,credit_card,Individual,13.49,9371.4,16000.0,14650.0,0.0,4.0,0.0,C,17.0,33.0,19.0,665.0,669.0,IL,3_years,MORTGAGE,Source_Verified,100000.0,fullypaid
399.97,debt_consolidation,Individual,17.27,9131.52,16000.0,33871.0,0.0,1.0,2.0,C,18.0,82.0,32.0,665.0,669.0,IN,10+_years,MORTGAGE,Verified,85000.0,fullypaid
659.81,debt_consolidation,Individual,11.53,98.65,20000.0,7474.0,1.0,0.0,5.0,B,8.0,46.1,26.0,665.0,669.0,TN,nan,MORTGAGE,Verified,64488.0,fullypaid
341.75,debt_consolidation,Individual,23.5,7931.55,12000.0,7921.0,0.0,1.0,0.0,F,12.0,76.9,27.0,665.0,669.0,CA,7_years,RENT,Verified,44000.0,fullypaid
621.12,home_improvement,Individual,7.39,11571.06,20000.0,13854.0,0.0,1.0,4.0,A,10.0,27.2,34.0,680.0,684.0,TX,2_years,MORTGAGE,Verified,125000.0,fullypaid
803.75,debt_consolidation,Individual,9.75,18941.46,25000.0,8427.0,0.0,1.0,2.0,B,15.0,14.5,37.0,715.0,719.0,CA,7_years,RENT,Not_Verified,106000.0,fullypaid
1103.09,credit_card,Individual,8.39,4322.86,35000.0,28769.0,0.0,0.0,6.0,A,13.0,55.2,33.0,745.0,749.0,IL,3_years,MORTGAGE,Source_Verified,175000.0,fullypaid
357.01,credit_card,Individual,11.99,357.01,10750.0,20420.0,0.0,1.0,1.0,B,6.0,61.1,24.0,715.0,719.0,LA,<_1_year,RENT,Not_Verified,32000.0,chargedoff
392.81,debt_consolidation,Individual,10.99,9753.46,12000.0,11886.0,4.0,0.0,0.0,B,7.0,34.6,25.0,660.0,664.0,NY,3_years,RENT,Source_Verified,85000.0,fullypaid
654.68,debt_consolidation,Individual,10.99,2600.35,20000.0,23816.0,1.0,0.0,8.0,B,23.0,34.1,70.0,695.0,699.0,WV,10+_years,MORTGAGE,Not_Verified,70000.0,fullypaid
452.41,credit_card,Individual,12.74,19143.67,20000.0,16452.0,3.0,0.0,2.0,C,12.0,76.9,19.0,665.0,669.0,WI,1_year,MORTGAGE,Source_Verified,130000.0,fullypaid
274.71,debt_consolidation,Individual,14.33,5359.46,8000.0,6666.0,0.0,0.0,0.0,C,7.0,61.7,25.0,715.0,719.0,CA,6_years,RENT,Not_Verified,60000.0,fullypaid
531.33,home_improvement,Individual,19.19,531.33,20400.0,22133.0,0.0,0.0,0.0,E,14.0,65.5,21.0,700.0,704.0,MI,5_years,MORTGAGE,Source_Verified,51000.0,chargedoff
156.43,credit_card,Individual,7.89,394.77,5000.0,12162.0,0.0,0.0,0.0,A,14.0,24.2,26.0,775.0,779.0,AZ,7_years,MORTGAGE,Not_Verified,48000.0,fullypaid
274.2,debt_consolidation,Individual,17.99,9443.56,10800.0,11091.0,0.0,0.0,0.0,D,4.0,96.4,6.0,680.0,684.0,SC,nan,RENT,Verified,27000.0,fullypaid
251.61,credit_card,Individual,17.57,251.61,10000.0,4907.0,0.0,1.0,0.0,D,14.0,36.6,16.0,675.0,679.0,PA,3_years,RENT,Source_Verified,30000.0,chargedoff
400.1,credit_card,Individual,8.9,3129.24,12600.0,5255.0,1.0,0.0,4.0,A,7.0,74.0,22.0,675.0,679.0,CA,10+_years,RENT,Source_Verified,106000.0,fullypaid
356.48,other,Individual,16.99,10030.02,10000.0,6658.0,0.0,0.0,0.0,D,10.0,79.3,19.0,660.0,664.0,TX,2_years,RENT,Source_Verified,75000.0,fullypaid
829.07,debt_consolidation,Individual,7.89,829.05,26500.0,42190.0,0.0,0.0,1.0,A,13.0,57.3,23.0,715.0,719.0,GA,9_years,RENT,Source_Verified,94123.0,fullypaid
272.71,debt_consolidation,Individual,16.99,2101.65,7650.0,6479.0,0.0,0.0,0.0,D,10.0,59.4,21.0,665.0,669.0,PA,10+_years,RENT,Source_Verified,55000.0,fullypaid
65.69,other,Individual,11.22,737.32,2000.0,13859.0,0.0,0.0,0.0,B,6.0,85.0,9.0,690.0,694.0,NC,5_years,RENT,Source_Verified,70000.0,fullypaid
300.81,debt_consolidation,Individual,10.91,7628.83,9200.0,8665.0,0.0,1.0,2.0,B,9.0,44.2,28.0,680.0,684.0,CA,3_years,RENT,Source_Verified,49000.0,fullypaid
145.6,medical,Individual,18.49,145.6,4000.0,1541.0,0.0,2.0,0.0,E,5.0,86.0,8.0,670.0,674.0,SC,1_year,OWN,Not_Verified,57000.0,chargedoff
209.73,debt_consolidation,Individual,15.59,209.72,6000.0,4329.0,15.0,2.0,0.0,D,10.0,29.0,52.0,675.0,679.0,NC,10+_years,OWN,Source_Verified,75000.0,fullypaid
125.33,debt_consolidation,Individual,7.99,373.78,4000.0,5353.0,0.0,0.0,0.0,A,7.0,15.5,8.0,775.0,779.0,GA,2_years,RENT,Not_Verified,60000.0,fullypaid
450.97,debt_consolidation,Individual,19.99,450.97,17025.0,26165.0,0.0,2.0,6.0,E,12.0,66.1,32.0,700.0,704.0,FL,1_year,MORTGAGE,Source_Verified,55000.0,chargedoff
770.58,debt_consolidation,Individual,14.33,16231.44,32875.0,18852.0,0.0,1.0,4.0,C,13.0,31.0,31.0,735.0,739.0,CT,2_years,MORTGAGE,Verified,74000.0,fullypaid
336.55,home_improvement,Individual,7.62,2923.7,10800.0,2786.0,0.0,1.0,3.0,A,5.0,31.0,25.0,750.0,754.0,CO,5_years,MORTGAGE,Source_Verified,198000.0,fullypaid
39.43,debt_consolidation,Individual,24.37,899.46,1000.0,20545.0,0.0,1.0,3.0,E,13.0,59.4,40.0,675.0,679.0,MD,10+_years,MORTGAGE,Source_Verified,75000.0,fullypaid
815.15,debt_consolidation,Individual,13.56,22823.77,24000.0,26099.0,0.0,2.0,0.0,C,13.0,55.2,18.0,690.0,694.0,MD,10+_years,RENT,Source_Verified,85000.0,fullypaid
936.4,medical,Individual,19.99,3088.81,25200.0,4949.0,0.0,0.0,3.0,E,12.0,35.3,15.0,710.0,714.0,UT,2_years,MORTGAGE,Verified,60000.0,fullypaid
105.91,home_improvement,Individual,16.29,105.5,3000.0,1560.0,1.0,0.0,0.0,C,14.0,26.4,25.0,700.0,704.0,IL,5_years,OWN,Verified,65000.0,fullypaid
129.05,debt_consolidation,Individual,9.99,129.05,4000.0,10998.0,0.0,0.0,nan,B,10.0,33.1,14.0,700.0,704.0,MI,3_years,MORTGAGE,Source_Verified,40000.0,chargedoff
340.08,debt_consolidation,Individual,13.65,5591.72,10000.0,10492.0,0.0,1.0,0.0,C,10.0,91.2,21.0,675.0,679.0,CA,10+_years,RENT,Source_Verified,60000.0,fullypaid
599.58,debt_consolidation,Individual,16.29,18347.67,24500.0,5762.0,1.0,3.0,8.0,D,11.0,49.2,29.0,705.0,709.0,WI,10+_years,MORTGAGE,Source_Verified,91000.0,fullypaid
594.49,credit_card,Individual,14.98,594.12,25000.0,25165.0,0.0,0.0,1.0,C,8.0,79.6,17.0,705.0,709.0,TX,10+_years,MORTGAGE,Source_Verified,90000.0,fullypaid
1032.4,credit_card,Individual,9.99,13727.58,32000.0,30085.0,0.0,0.0,1.0,B,22.0,75.6,42.0,675.0,679.0,NY,<_1_year,MORTGAGE,Source_Verified,113000.0,fullypaid
570.16,credit_card,Individual,8.18,11237.1,28000.0,43813.0,0.0,0.0,3.0,B,23.0,57.2,40.0,730.0,734.0,MO,10+_years,MORTGAGE,Source_Verified,86300.0,fullypaid
239.61,credit_card,Individual,7.35,12088.2,12000.0,9498.0,0.0,1.0,2.0,A,15.0,9.5,32.0,800.0,804.0,NE,8_years,OWN,Not_Verified,106000.0,fullypaid
273.48,debt_consolidation,Individual,19.19,273.48,10500.0,5839.0,0.0,0.0,4.0,E,15.0,25.7,33.0,680.0,684.0,CA,7_years,RENT,Source_Verified,45000.0,chargedoff
821.08,debt_consolidation,Individual,11.22,821.08,25000.0,24825.0,0.0,1.0,3.0,B,18.0,59.0,26.0,675.0,679.0,AR,2_years,MORTGAGE,Source_Verified,350000.0,chargedoff
301.15,home_improvement,Individual,5.32,3527.75,10000.0,13013.0,0.0,0.0,5.0,A,8.0,73.9,19.0,735.0,739.0,AZ,6_years,MORTGAGE,Source_Verified,175000.0,fullypaid
412.39,credit_card,Individual,8.18,1634.45,13125.0,20158.0,1.0,0.0,3.0,B,6.0,106.1,24.0,670.0,674.0,CT,10+_years,MORTGAGE,Source_Verified,120000.0,fullypaid
303.81,debt_consolidation,Individual,8.67,303.61,9600.0,7554.0,0.0,0.0,0.0,B,29.0,28.6,49.0,740.0,744.0,GA,2_years,MORTGAGE,Not_Verified,70000.0,fullypaid
577.01,debt_consolidation,Individual,19.52,577.01,22000.0,9193.0,0.0,1.0,0.0,E,9.0,87.6,25.0,685.0,689.0,IL,10+_years,MORTGAGE,Source_Verified,56000.0,chargedoff
880.61,debt_consolidation,Individual,17.57,22900.07,35000.0,47026.0,0.0,0.0,3.0,D,16.0,53.2,30.0,695.0,699.0,OH,4_years,MORTGAGE,Source_Verified,80000.0,fullypaid
395.55,debt_consolidation,Individual,11.47,395.16,12000.0,11975.0,1.0,0.0,0.0,B,12.0,44.5,24.0,710.0,714.0,NJ,2_years,RENT,Not_Verified,36000.0,fullypaid
299.18,debt_consolidation,Individual,17.57,2543.25,8325.0,6669.0,0.0,0.0,0.0,D,9.0,46.0,12.0,660.0,664.0,FL,4_years,OWN,Source_Verified,82000.0,fullypaid
378.91,credit_card,Individual,12.61,14872.61,16800.0,32491.0,0.0,2.0,6.0,C,23.0,50.7,32.0,685.0,689.0,OH,10+_years,MORTGAGE,Source_Verified,85000.0,fullypaid
503.9,credit_card,Individual,12.79,7915.03,15000.0,15382.0,1.0,3.0,0.0,C,14.0,51.8,32.0,660.0,664.0,CT,7_years,OWN,Source_Verified,92000.0,fullypaid
283.22,other,Individual,15.61,188.0,8100.0,2685.0,1.0,0.0,3.0,D,7.0,54.8,24.0,680.0,684.0,MA,nan,MORTGAGE,Verified,62533.0,chargedoff
278.54,debt_consolidation,Individual,15.31,293.54,8000.0,8086.0,0.0,0.0,0.0,C,20.0,85.1,28.0,670.0,674.0,TX,1_year,MORTGAGE,Source_Verified,44000.0,chargedoff
602.3,debt_consolidation,Individual,5.32,14308.41,20000.0,3292.0,0.0,0.0,2.0,A,17.0,5.9,34.0,815.0,819.0,NC,6_years,MORTGAGE,Not_Verified,147000.0,fullypaid
57.64,other,Individual,22.45,57.64,1500.0,7382.0,0.0,0.0,1.0,E,9.0,49.2,14.0,680.0,684.0,MO,<_1_year,MORTGAGE,Source_Verified,48000.0,chargedoff
311.23,debt_consolidation,Individual,18.99,311.23,12000.0,14414.0,0.0,0.0,2.0,E,8.0,83.3,19.0,715.0,719.0,FL,1_year,MORTGAGE,Source_Verified,55000.0,chargedoff
792.61,debt_consolidation,Individual,12.79,23143.26,35000.0,38493.0,0.0,0.0,3.0,C,15.0,47.1,35.0,730.0,734.0,AK,10+_years,MORTGAGE,Source_Verified,85000.0,fullypaid
452.92,debt_consolidation,Individual,12.79,16044.12,20000.0,17754.0,2.0,0.0,0.0,C,13.0,64.6,24.0,690.0,694.0,NY,10+_years,RENT,Source_Verified,170000.0,fullypaid
269.53,debt_consolidation,Individual,17.57,269.43,7500.0,5133.0,0.0,0.0,0.0,D,14.0,20.7,37.0,665.0,669.0,PA,nan,RENT,Verified,21000.0,fullypaid
396.2,debt_consolidation,Individual,10.16,5615.97,12250.0,8936.0,0.0,0.0,0.0,B,3.0,52.0,9.0,680.0,684.0,VA,2_years,RENT,Verified,42000.0,fullypaid
418.26,home_improvement,Individual,30.94,0.0,12700.0,7730.0,0.0,1.0,0.0,G,8.0,5.8,8.0,740.0,744.0,CA,5_years,RENT,Verified,86000.0,chargedoff
530.6,debt_consolidation,Individual,13.66,530.6,15600.0,12283.0,0.0,1.0,0.0,C,8.0,57.1,13.0,680.0,684.0,TX,10+_years,RENT,Source_Verified,66600.0,chargedoff
357.59,credit_card,Individual,13.33,357.59,15600.0,16006.0,0.0,0.0,0.0,C,7.0,90.9,28.0,685.0,689.0,CA,3_years,RENT,Source_Verified,61000.0,chargedoff
263.78,debt_consolidation,Individual,11.49,5521.97,8000.0,8842.0,0.0,1.0,1.0,B,8.0,80.4,16.0,675.0,679.0,WI,10+_years,MORTGAGE,Source_Verified,75000.0,fullypaid
239.17,debt_consolidation,Individual,7.62,238.91,7675.0,6357.0,0.0,1.0,2.0,A,8.0,42.7,25.0,695.0,699.0,NY,7_years,MORTGAGE,Not_Verified,76000.0,fullypaid
173.5,medical,Individual,10.99,173.5,5300.0,5253.0,0.0,0.0,1.0,B,9.0,69.1,18.0,690.0,694.0,MN,<_1_year,MORTGAGE,Source_Verified,60000.0,chargedoff
217.69,credit_card,Individual,13.66,5615.25,6400.0,14618.0,0.0,4.0,4.0,C,15.0,48.4,34.0,665.0,669.0,IN,10+_years,RENT,Verified,55000.0,fullypaid
569.16,debt_consolidation,Individual,14.65,568.89,16500.0,6113.0,0.0,1.0,3.0,C,11.0,55.6,25.0,660.0,664.0,CT,7_years,RENT,Source_Verified,60000.0,fullypaid
269.73,credit_card,Individual,18.99,7061.41,10400.0,9962.0,0.0,1.0,0.0,D,8.0,49.3,15.0,685.0,689.0,NH,10+_years,RENT,Source_Verified,45000.0,fullypaid
824.17,credit_card,Individual,11.48,24732.14,25000.0,22162.0,0.0,0.0,2.0,B,12.0,83.6,26.0,680.0,684.0,CA,10+_years,MORTGAGE,Source_Verified,96000.0,fullypaid
927.28,moving,Individual,7.07,19286.23,30000.0,107786.0,0.0,1.0,3.0,A,9.0,8.9,15.0,835.0,839.0,AZ,10+_years,MORTGAGE,Source_Verified,300000.0,fullypaid
391.28,other,Individual,10.99,12818.95,18000.0,5876.0,0.0,0.0,3.0,B,6.0,11.6,15.0,800.0,804.0,NJ,10+_years,MORTGAGE,Not_Verified,94000.0,fullypaid
326.35,debt_consolidation,Individual,10.78,6.61,10000.0,38678.0,2.0,0.0,1.0,B,27.0,51.3,55.0,675.0,679.0,MD,6_years,MORTGAGE,Verified,120000.0,fullypaid
54.05,other,Individual,13.18,518.16,1600.0,16745.0,0.0,0.0,1.0,C,17.0,57.3,29.0,660.0,664.0,CA,10+_years,MORTGAGE,Verified,40000.0,fullypaid
169.52,debt_consolidation,Individual,20.99,1846.38,4500.0,5084.0,0.0,1.0,1.0,E,13.0,40.7,20.0,675.0,679.0,FL,9_years,MORTGAGE,Source_Verified,37362.0,fullypaid
77.33,moving,Individual,22.91,1587.45,2000.0,22741.0,1.0,0.0,3.0,E,7.0,94.0,23.0,665.0,669.0,OR,7_years,RENT,Verified,85000.0,fullypaid
478.19,credit_card,Individual,9.17,9786.7,15000.0,3101.0,0.0,2.0,0.0,B,12.0,10.7,18.0,755.0,759.0,CO,7_years,RENT,Source_Verified,56000.0,fullypaid
457.18,debt_consolidation,Individual,24.99,5364.57,11500.0,11761.0,0.0,1.0,0.0,E,6.0,57.1,11.0,665.0,669.0,TX,4_years,OWN,Verified,23000.0,fullypaid
239.21,home_improvement,Individual,13.49,4915.11,7050.0,1345.0,2.0,1.0,2.0,C,4.0,28.0,15.0,660.0,664.0,GA,1_year,MORTGAGE,Source_Verified,40000.0,fullypaid
931.19,debt_consolidation,Individual,20.2,27459.97,35000.0,24623.0,0.0,1.0,2.0,D,9.0,66.7,19.0,705.0,709.0,TX,3_years,RENT,Source_Verified,125000.0,fullypaid
733.02,credit_card,Individual,18.99,733.02,20000.0,8109.0,0.0,1.0,1.0,D,9.0,78.0,17.0,670.0,674.0,OK,5_years,MORTGAGE,Source_Verified,79000.0,chargedoff
161.34,debt_consolidation,Individual,10.0,53.25,5000.0,1193.0,0.0,3.0,nan,B,3.0,34.1,6.0,750.0,754.0,MO,<_1_year,RENT,Not_Verified,26400.0,fullypaid
168.45,medical,Individual,12.99,3091.38,5000.0,5050.0,0.0,0.0,0.0,C,18.0,17.9,22.0,720.0,724.0,CA,3_years,RENT,Source_Verified,21000.0,fullypaid
422.01,home_improvement,Individual,16.02,8502.85,12000.0,13052.0,0.0,1.0,3.0,C,16.0,91.3,28.0,685.0,689.0,IL,6_years,MORTGAGE,Source_Verified,69000.0,fullypaid
488.71,credit_card,Individual,8.18,16896.68,24000.0,25792.0,0.0,0.0,3.0,B,11.0,80.3,24.0,700.0,704.0,NC,<_1_year,MORTGAGE,Source_Verified,140000.0,fullypaid
493.97,debt_consolidation,Individual,6.99,11099.98,16000.0,18137.0,0.0,0.0,0.0,A,14.0,43.0,25.0,725.0,729.0,NY,10+_years,RENT,Not_Verified,82000.0,fullypaid
1186.97,credit_card,Individual,11.49,27582.87,36000.0,20481.0,0.0,0.0,5.0,B,10.0,54.2,21.0,700.0,704.0,AL,10+_years,MORTGAGE,Verified,102000.0,fullypaid
490.63,debt_consolidation,Individual,16.4,490.63,20000.0,15860.0,0.0,3.0,nan,E,6.0,72.1,16.0,705.0,709.0,CA,6_years,OWN,Source_Verified,65000.0,chargedoff
302.12,debt_consolidation,Individual,12.74,5488.55,9000.0,5459.0,0.0,0.0,1.0,C,8.0,35.0,22.0,665.0,669.0,WA,8_years,MORTGAGE,Source_Verified,54000.0,fullypaid
330.66,debt_consolidation,Individual,15.99,11707.58,13600.0,5858.0,0.0,0.0,0.0,C,13.0,56.3,16.0,690.0,694.0,NJ,10+_years,MORTGAGE,Source_Verified,55000.0,fullypaid
170.09,debt_consolidation,Individual,13.67,2199.36,5000.0,11789.0,0.0,1.0,0.0,C,15.0,55.6,22.0,680.0,684.0,GA,10+_years,RENT,Source_Verified,30000.0,fullypaid
1238.98,debt_consolidation,Individual,16.49,5032.87,35000.0,102464.0,1.0,3.0,4.0,D,11.0,95.0,29.0,680.0,684.0,NJ,9_years,MORTGAGE,Verified,312000.0,chargedoff
260.55,debt_consolidation,Individual,13.99,0.41,11200.0,23226.0,1.0,0.0,3.0,C,16.0,70.4,43.0,665.0,669.0,KY,10+_years,MORTGAGE,Verified,46000.0,fullypaid
100.12,debt_consolidation,Individual,7.89,1435.13,3200.0,592.0,0.0,0.0,0.0,A,4.0,2.2,14.0,805.0,809.0,NY,8_years,RENT,Source_Verified,110000.0,fullypaid
157.24,debt_consolidation,Individual,8.24,2391.5,5000.0,16970.0,0.0,0.0,2.0,B,9.0,77.1,12.0,665.0,669.0,IL,8_years,MORTGAGE,Source_Verified,72000.0,fullypaid
180.67,credit_card,Individual,9.99,4681.49,5600.0,3034.0,0.0,1.0,5.0,B,7.0,66.0,24.0,680.0,684.0,CT,<_1_year,RENT,Source_Verified,58000.0,fullypaid
876.13,debt_consolidation,Individual,7.9,10958.18,28000.0,17801.0,0.0,1.0,nan,A,11.0,16.5,28.0,755.0,759.0,NY,3_years,RENT,Verified,96000.0,fullypaid
194.99,debt_consolidation,Individual,10.49,194.99,6000.0,6844.0,0.0,0.0,0.0,B,5.0,45.3,11.0,695.0,699.0,VA,10+_years,RENT,Source_Verified,33000.0,chargedoff
217.49,debt_consolidation,Individual,18.49,217.49,5975.0,8240.0,0.0,1.0,0.0,E,7.0,61.0,8.0,680.0,684.0,NC,2_years,RENT,Source_Verified,45000.0,chargedoff
491.27,other,Individual,16.46,491.27,20000.0,37378.0,0.0,0.0,1.0,C,4.0,26.7,8.0,675.0,679.0,MN,10+_years,OWN,Source_Verified,100000.0,chargedoff
781.65,debt_consolidation,Individual,10.64,781.41,24000.0,8390.0,0.0,0.0,4.0,B,13.0,40.0,31.0,740.0,744.0,TN,10+_years,MORTGAGE,Source_Verified,100500.0,fullypaid
830.24,debt_consolidation,Individual,11.99,19902.69,25000.0,24089.0,2.0,1.0,3.0,C,11.0,47.2,30.0,670.0,674.0,AK,10+_years,MORTGAGE,Not_Verified,120000.0,fullypaid
361.67,debt_consolidation,Individual,15.61,361.67,15000.0,14728.0,0.0,0.0,1.0,C,20.0,52.2,34.0,675.0,679.0,TX,<_1_year,MORTGAGE,Source_Verified,48000.0,chargedoff
